Stage,Sentence
AB,I always feel like the people I rely on will suddenly disappear when I need them the most.
AB,There's this constant fear that the ones closest to me will turn their backs on me for someone better.
AB,I can't shake the feeling that the support I have now will crumble under the weight of their own issues.
AB,"It's like walking on eggshells, never knowing when the people I love will lash out and leave me behind."
AB,"I feel like I'm holding on to relationships that are slipping through my fingers, no matter how tight I grip."
AB,The thought of losing the people who mean the most to me is a heavy weight that never leaves my mind.
AB,"I'm always waiting for the other shoe to drop, for the moment when I'll be left all alone."
AB,It's hard to trust in the stability of my relationships when the fear of being abandoned lingers in my thoughts.
AB,"I feel like I'm on borrowed time with the people I care about, always waiting for the moment when they walk away."
AB,The idea of being left behind by those I cherish is a constant ache in my heart.
AB,"I'm always waiting for the other shoe to drop, never knowing when the support I rely on will disappear."
AB,"It's like walking on eggshells, never sure when the person I depend on will suddenly lash out in anger."
AB,"I feel like I'm constantly on edge, expecting the person closest to me to walk out the door at any moment."
AB,"There's a constant fear gnawing at me, telling me that the one who is supposed to be there for me will leave when I need them most."
AB,I can't shake the feeling that the person I trust the most will find someone better and abandon me.
AB,It's hard to let my guard down when I'm convinced that the support I have will crumble when I least expect it.
AB,"I feel like I'm holding my breath, waiting for the support I rely on to vanish into thin air."
AB,There's a deep-seated fear within me that the one I love will leave me behind for someone else.
AB,I struggle to fully open up to others when I fear they will reveal their unreliability and let me down.
AB,"It's like I'm walking a tightrope, never knowing when the person I count on will suddenly disappear from my life."
AS,I constantly crave validation from others to feel worthy.
AS,My self-worth is tied to how others perceive me.
AS,I struggle to make decisions without seeking others' opinions first.
AS,I feel anxious if I'm not the center of attention in social situations.
AS,I fear being overlooked or forgotten by those around me.
AS,"I put on a facade to please others, even if it means sacrificing my true self."
AS,I feel empty inside when I'm not being praised or acknowledged.
AS,I become desperate for reassurance when I doubt my own abilities.
AS,I feel a constant need to prove myself to others to feel accepted.
AS,"I base my identity on how others view me, rather than my own beliefs and values."
AS,I constantly find myself changing who I am just to fit in with others.
AS,My self-worth is completely dependent on how others perceive me.
AS,I feel like I am always putting on a show to gain acceptance from others.
AS,I fear being rejected or ignored more than anything else in the world.
AS,I struggle to make decisions without considering how they will be viewed by others.
AS,I feel a constant pressure to be perfect in order to be liked by others.
AS,I often feel invisible unless I am receiving attention from others.
AS,I have a deep-seated fear of being judged or criticized by others.
AS,"I will go to great lengths to please others, even if it means sacrificing my own happiness."
AS,I am constantly seeking validation from others to feel worthy.
DI,I feel lost and overwhelmed without someone guiding me through my daily tasks.
DI,I constantly doubt my abilities to make decisions on my own.
DI,I struggle to complete even the simplest of tasks without assistance.
DI,I always fear making mistakes because I don't trust my own judgment.
DI,I rely on others to tell me what to do because I can't trust myself to choose the right path.
DI,I feel like a burden to those around me because I can't handle things on my own.
DI,I feel like I'm drowning in responsibilities that I can never seem to keep up with.
DI,I feel like a child who constantly needs to be taken care of because I can't do things on my own.
DI,I feel like I'm constantly failing at everything I try to do without someone holding my hand.
DI,I feel like I'm incapable of handling any aspect of my life without someone else stepping in to help me.
DI,I feel like I'm drowning in my own inability to manage even the simplest tasks.
DI,"No matter how hard I try, I always seem to fall short of what is expected of me."
DI,"I constantly feel overwhelmed by the weight of my responsibilities, like I'm trapped in a never-ending cycle of failure."
DI,"I struggle to keep up with the demands of everyday life, always feeling like I'm one step behind everyone else."
DI,I can't shake the feeling that I am destined to disappoint those who depend on me.
DI,"Every time I attempt to take control, I end up making things worse, reinforcing my belief in my own incompetence."
DI,"It's like I'm stuck in quicksand, the more I try to move forward, the deeper I sink into my own helplessness."
DI,"I feel like a burden to those around me, incapable of carrying my own weight."
DI,I can't seem to shake the belief that I am fundamentally incapable of handling life's challenges on my own.
DI,I am constantly haunted by the fear that I will never be able to live up to the expectations placed upon me.
DS,I constantly feel like I'm not good enough for anyone.
DS,I always worry that people will see through my facade and realize how worthless I am.
DS,I can't shake the feeling that I'm just a burden to those around me.
DS,"I'm always on edge, waiting for someone to point out my flaws and confirm my worst fears."
DS,"I feel like I'm always walking on eggshells, afraid of being rejected or abandoned."
DS,I'm haunted by the constant fear that I'll never be truly loved or accepted for who I am.
DS,I can't help but compare myself to others and always come up short.
DS,I feel like I'm just a mistake waiting to be discovered.
DS,I'm consumed by the belief that I'm fundamentally flawed and unworthy of happiness.
DS,"I'm terrified that if people really knew me, they would see how broken I am and leave me behind."
DS,I feel like I am constantly falling short of expectations and letting everyone down.
DS,I can't shake the feeling that I am inherently flawed and unworthy of love.
DS,Every mistake I make only reinforces my belief that I am fundamentally inadequate.
DS,"I am terrified of being exposed for who I truly am, afraid of being rejected and abandoned."
DS,"I find myself constantly comparing myself to others, always coming up short and feeling inferior."
DS,"I am haunted by a deep sense of insecurity and self-doubt, always second-guessing myself."
DS,"I feel like I am walking on eggshells, afraid of saying or doing something that will make others see me as flawed."
DS,"I can't help but feel like I am a burden to those around me, always needing to be taken care of."
DS,"I struggle to accept compliments or praise, convinced that I am unworthy of such positive attention."
DS,"I feel like I am living a lie, pretending to be someone I am not just to avoid rejection and judgment."
ED,"I feel like no matter how much I reach out, I never receive the attention and warmth I crave from others."
ED,"It's like I'm constantly pouring my heart out to people, but no one really takes the time to truly understand me."
ED,"I find myself longing for someone to listen and share in my feelings, but it seems like I'm always met with blank stares and empty conversations."
ED,"I wish I had someone strong and supportive in my life to guide me and protect me, but I always feel like I'm left to fend for myself."
ED,"It's like I'm always the one giving, but never receiving the nurturing and care that I so desperately need."
ED,I'm tired of feeling like I have to hide my emotions because no one around me seems to care enough to empathize with me.
ED,"I just want someone to be my rock, to offer me direction and strength when I feel lost and vulnerable."
ED,"I feel like I'm drowning in a sea of my own emotions, and there's no one around to throw me a lifeline."
ED,"I keep waiting for someone to show me that they truly care about me, but all I get in return is indifference and neglect."
ED,"I wish I could find someone who understands me on a deeper level, who is willing to open up and share their own feelings with me."
ED,"I often feel like no one truly understands me, like I'm always on my own with my feelings."
ED,"I crave affection and warmth from others, but it feels like everyone is too caught up in their own lives to give me any attention."
ED,"I find it hard to trust others to protect and guide me, so I end up feeling lost and alone most of the time."
ED,"I wish I had someone I could truly open up to and share my feelings with, but it seems like no one is willing to listen."
ED,"I long for companionship and connection, but I always end up feeling like I'm on the outside looking in."
ED,I constantly feel like I have to be strong and independent because I can't rely on anyone else for support.
ED,"I fear that if I show my vulnerability, others will take advantage of me, so I keep my guard up at all times."
ED,"I yearn for someone to take the time to truly understand me and my emotions, but it feels like everyone is too wrapped up in themselves to care."
