Stage,Sentence
AB,I always feel like the people closest to me are one step away from disappearing.
AB,"It's like I'm walking on eggshells, never knowing when the rug will be pulled out from under me."
AB,I can't shake this fear that I'm just a temporary option for everyone in my life.
AB,"There's this constant dread that one day, everyone will see me as replaceable."
AB,I feel like I'm always waiting for the other shoe to drop in my relationships.
AB,It's hard to trust anyone when I'm convinced they'll leave when things get tough.
AB,I keep waiting for the moment when I'll be left behind by those who promised to always be there.
AB,"I'm constantly on edge, waiting for the moment when I'll be pushed away for good."
AB,It's like I'm stuck in a cycle of feeling loved one moment and abandoned the next.
AB,I can't help but feel like I'm just a placeholder until something better comes along.
AB,The fear of being left behind is always lingering in the back of my mind.
AB,I'm scared that I'll never find someone who will stick around through thick and thin.
AB,It's like I'm always preparing myself for the worst when it comes to relationships.
AB,"I feel like I'm the only one holding onto the connection, while everyone else is ready to let go."
AB,I struggle to believe that anyone could truly be there for me when I need them most.
AB,I find myself questioning if anyone could handle my emotions without eventually walking away.
AB,I'm so used to people leaving that I don't know how to trust someone who wants to stay.
AB,It's hard to open up to others when I'm convinced they'll end up hurting me in the end.
AB,I feel like I'm always one wrong move away from being abandoned by those I care about.
AB,The thought of being left alone terrifies me more than anything else.
AB,I'm constantly searching for signs that someone is about to leave me behind.
AB,I'm convinced that I'll never be a top priority for anyone in my life.
AB,"I'm afraid that if I show my true self, everyone will run in the opposite direction."
AB,I feel like I'm invisible to those who claim to care about me the most.
AB,It's like I'm always the one left picking up the pieces when someone decides to walk away.
AB,I can't shake the feeling that I'll never find someone who truly understands me.
AB,I'm so used to people leaving that I struggle to believe anyone could be different.
AB,I feel like I'm constantly fighting to prove my worth to those around me.
AB,"I'm convinced that one day, everyone will see me as too much to handle."
AB,I always feel like the people I rely on will suddenly disappear without warning.
AB,I can't shake this feeling that I'm just one mistake away from being completely alone.
AB,I never know if the support I have today will be gone tomorrow.
AB,"I'm scared that if I show any vulnerability, I'll be pushed away."
AB,There's always this nagging fear that I'm just a temporary fixture in people's lives.
AB,I'm convinced that everyone will eventually see me as too much to handle and leave.
AB,"I feel like I'm walking on eggshells, afraid to upset anyone and drive them away."
AB,"It's like I'm always on edge, waiting for the moment when I'll be abandoned."
AB,I keep waiting for the moment when the people I care about will turn their backs on me.
AB,I can't help but think that no one will stick around when things get tough.
AB,I feel like I'm just a burden waiting to be dropped.
AB,I have this constant fear that I'm not enough to keep people from leaving.
AB,I'm always bracing myself for the moment when I'll be left all alone.
AB,I'm terrified that the people I love will realize they're better off without me.
AB,I'm convinced that it's only a matter of time before I'm left behind.
AB,I'm constantly worried that I'll be abandoned when I need someone the most.
AB,I'm stuck in this cycle of pushing people away before they can leave me.
AB,I'm haunted by the feeling that no one will ever truly be there for me.
AB,I'm always waiting for the moment when I'll be replaced by someone more deserving.
AB,I can't shake the belief that I'm destined to be alone in the end.
AB,I'm convinced that I'm just a temporary fix for people's loneliness.
AB,I feel like I'm just a temporary distraction until someone better comes along.
AB,I'm always waiting for the day when everyone will see me for who I really am and leave.
AB,"I'm constantly second-guessing every relationship, convinced it's only a matter of time before it falls apart."
AB,I always feel like I'm one mistake away from being abandoned by everyone I care about.
AB,"I'm terrified that if I let my guard down, I'll be left with no one to turn to."
AB,I'm convinced that I'll always be the one left behind when people move on to better things.
AB,I feel like I'm just a burden that people will eventually decide they can do without.
AB,I always feel like the people I rely on will suddenly disappear when I need them most.
AB,"It's like walking on eggshells, never knowing when the support I count on will crumble beneath me."
AB,I live in constant fear that those closest to me will snap and turn their backs on me.
AB,The thought of my loved ones leaving me for someone better haunts me every day.
AB,I can't shake the feeling that the people I trust will eventually reveal themselves as unreliable and untrustworthy.
AB,There's a lingering sense of impending loss that clouds every connection I have.
AB,"I keep waiting for the other shoe to drop, for my support system to vanish into thin air."
AB,"I'm always on edge, waiting for the moment when I'll be abandoned by those I care about."
AB,The uncertainty of whether my loved ones will stick around or disappear eats away at me.
AB,"I feel like I'm standing on a shaky foundation, never knowing when the ground will give way beneath me."
