Stage,Sentence
AB,"I always feel like the people closest to me are going to suddenly disappear, leaving me all alone."
AB,It's hard for me to trust anyone because I'm constantly waiting for them to let me down or walk away.
AB,"I never know what mood my loved ones will be in from one moment to the next, and it makes me anxious."
AB,I can't shake the feeling that I'm just one mistake away from being pushed away by those I care about.
AB,The thought of losing the support of those I rely on terrifies me more than anything else.
AB,"I try to convince myself that everyone will eventually leave me, so I won't be caught off guard when it happens."
AB,"I'm always on edge, waiting for the people I love to decide that they don't want me around anymore."
AB,I feel like I have to constantly walk on eggshells around others to prevent them from leaving me behind.
AB,The fear of being replaced by someone better is always at the back of my mind in every relationship I have.
AB,"No matter how hard I try, I can't shake the belief that I'm just one misstep away from being abandoned by everyone I care about."
AB,I always feel like the people I rely on will suddenly disappear when I need them the most.
AB,It's hard to trust anyone when I'm constantly waiting for them to let me down or leave me behind.
AB,I live in constant fear that my loved ones will decide they're better off without me.
AB,"I can never relax because I'm always on edge, waiting for the next emotional outburst from those closest to me."
AB,"I feel like I'm walking on eggshells, afraid that any moment could be the last time I feel supported by those I care about."
AB,I struggle to form deep connections because I'm convinced everyone will eventually leave me in search of something better.
AB,"I can't shake the feeling that the people I love will suddenly be taken away from me, leaving me completely alone."
AB,"I'm always second-guessing the intentions of others, wondering if they'll stick around or disappear when things get tough."
AB,"I constantly feel like I'm a burden to those around me, convinced that they'll eventually get tired of dealing with my issues."
AB,I keep myself at a distance from others to protect myself from the inevitable moment when they decide I'm not worth their time.
AB,I constantly fear that the people I love will suddenly disappear from my life.
AB,I can never rely on anyone to be there for me when I need them the most.
AB,I feel like everyone around me is just waiting for a better option to come along and leave me behind.
AB,The thought of being left alone in my time of need terrifies me to my core.
AB,I can't shake the feeling that the ones I care about will one day decide I'm not worth sticking around for.
AB,"I feel like I'm walking on eggshells, never knowing when the people I trust will lash out and push me away."
AB,"It's like I'm always waiting for the other shoe to drop, for everything to come crashing down around me."
AB,"I'm constantly on edge, waiting for the moment when my support system crumbles beneath me."
AB,"I live in a constant state of anxiety, convinced that the people I rely on will let me down when I need them most."
AB,The idea of losing the few stable relationships I have left fills me with a deep sense of dread and despair.
AB,I'm always afraid that the people I rely on will suddenly disappear without warning.
AB,"It's like walking on eggshells, never knowing when the support I need will crumble beneath me."
AB,I feel like I'm constantly waiting for the other shoe to drop in my relationships.
AB,The fear of being left behind by those I care about is overwhelming at times.
AB,I can't shake the feeling that everyone in my life will eventually give up on me.
AB,There's this constant dread that the people I love will find someone better and leave me behind.
AB,"I feel like I'm on a rollercoaster of emotions, never knowing when the next drop will come."
AB,"It's like I'm standing on shaky ground, waiting for the ground to give way beneath me."
AB,I'm haunted by the idea that those closest to me will suddenly decide I'm not worth sticking around for.
AB,The uncertainty of whether or not I can rely on others for support is suffocating.
AB,I always feel like the people closest to me will suddenly disappear when I need them the most.
AB,"It's like I'm constantly waiting for the other shoe to drop in my relationships, like I'm never truly safe."
AB,I can't help but think that everyone I love will eventually leave me because I'm not good enough.
AB,The fear of being left behind by those I care about haunts me every day.
AB,"I feel like I'm walking on eggshells around the people I rely on, never knowing when they'll turn on me."
AB,I'm terrified that the people I trust will betray me or abandon me for someone else.
AB,The thought of losing the only people who truly understand me is paralyzing.
AB,"I'm always on edge, waiting for the people I love to show their true colors and leave me stranded."
AB,I'm so scared of being left alone that I push everyone away before they have the chance to hurt me.
AB,"Every time someone important to me is upset, I can't help but think they'll walk out of my life forever."
AS,I constantly crave validation from others to feel worthy.
AS,My self-worth is dependent on the opinions of those around me.
AS,I feel lost without the constant attention and praise of others.
AS,I struggle to define myself outside of others' perceptions of me.
AS,"I fear rejection more than anything, so I mold myself to fit in."
AS,"I am always on edge, anxious about not meeting others' expectations."
AS,"I feel like a puppet, constantly performing for the approval of others."
AS,"I am a chameleon, changing my colors to blend in and be liked."
AS,I feel empty when I am not the center of attention in a group.
AS,I sacrifice my true self in order to please those around me.
AS,I constantly crave validation from others to feel valued.
AS,My self-worth is determined by the attention I receive from others.
AS,I feel lost without the constant praise and approval of those around me.
AS,I struggle to define my own identity without the acknowledgment of others.
AS,I mold myself into what others want me to be in order to feel accepted.
AS,I fear rejection more than anything because it threatens my sense of self.
AS,I don't feel complete unless I am being noticed and admired by others.
AS,I am always seeking external validation to fill the void within me.
AS,I sacrifice my true self in exchange for the temporary approval of others.
AS,I am consumed by the need to be constantly validated by those around me.
AS,"I constantly feel the need to please others, even if it means sacrificing my own happiness."
AS,"My self-worth is tied to the opinions of those around me, leaving me feeling empty and lost."
AS,"I yearn for validation from others to fill the void within myself, but it never seems to be enough."
AS,"I find myself constantly seeking out praise and attention, craving external validation to feel whole."
AS,"I fear being alone with my thoughts, as I am consumed by the need for external validation."
AS,"I struggle to define myself outside of the opinions of others, feeling like a shell of a person without their approval."
AS,"I am always putting on a show for others, desperate for their admiration and validation."
AS,"I sacrifice my own needs and desires in order to gain the approval of those around me, losing myself in the process."
AS,"I am haunted by the constant need for validation, never feeling secure in who I am without it."
AS,"I am a puppet, constantly seeking the approval and attention of others to feel like I exist."
AS,"I constantly crave validation from those around me, losing sight of my own identity in the process."
AS,"I find myself constantly bending over backwards to please others, neglecting my own needs and desires."
AS,"My worth feels entirely dependent on the opinions of others, leaving me feeling empty and lost."
AS,"I feel like a puppet, dancing to the tune of others' expectations instead of following my own heart."
