Stage,Sentence
ED,People have not been there to meet my emotional needs.
ED,I haven't gotten enough love and attention.
ED,"""For the most part, I haven't had someone to depend on for advice and emotional support."""
ED,"""Most of the time, I haven't had someone to nurture me, share him/herself with me, or care"""
ED,"""For much of my life, I haven't had someone who wanted to get close to me and spend a lot of"""
ED,"""In general, people have not been there to give me warmth, holding, and affection."""
ED,"""For much of my life, I haven't felt that I am special to someone."""
ED,"""For the most part, I have not had someone who really listens to me, understands me, or is"""
ED,I have rarely had a strong person to give me sound advice or direction when I'm not sure what
AB,"""I worry that the people I love will die soon, even though there is little medical reason to"""
AB,"""I find myself clinging to people I'm close to, because I'm afraid they'll leave me."""
AB,I worry that people I feel close to will leave me or abandon me.
AB,I feel that I lack a stable base of emotional support.
AB,I don't feel that important relationships will last	 I expect them to end.
AB,I feel addicted to partners who can't be there for me in a committed way.
AB,"""In the end, I will be alone."""
AB,"""When I feel someone I care for pulling away from me, I get desperate."""
AB,Sometimes I am so worried about people leaving me that I drive them away.
AB,"""I become upset when someone leaves me alone, even for a short period of time."""
AB,I can't count on people who support me to be there on a regular basis.
AB,"""I can't let myself get really close to other people, because I can't be sure they'll always be"""
AB,It seems that the important people in my life are always coming and going.
AB,I worry a lot that the people I love will find someone else they prefer and leave me.
AB,The people close to me have been very unpredictable: one moment they're available and
AB,I need other people so much that I worry about losing them.
AB,"""I can't be myself or express what I really feel, or people will leave me."""
MA,I feel that people will take advantage of me.
MA,I often feel that I have to protect myself from other people.
MA,"""I feel that I cannot let my guard down in the presence of other people, or else they will"""
MA,"""If someone acts nicely towards me, I assume that he/she must be after something."""
MA,It is only a matter of time before someone betrays me.
MA,Most people only think about themselves.
MA,I have a great deal of difficulty trusting people.
MA,I am quite suspicious of other people's motives.
MA,Other people are rarely honest	 they are usually not what they appear.
MA,I'm usually on the lookout for people's ulterior motives.
MA,"""If I think someone is out to hurt me, I try to hurt him or her first."""
MA,People usually have to prove themselves to me before I can trust them.
MA,"""I set up """"tests"""" for other people, to see if they are telling me the truth and are well-"""
MA,"""I subscribe to the belief: """"Control or be controlled."""""""
MA,I get angry when I think about the ways I have been mistreated by other people during my
MA,"""During my life, those close to me have taken advantage of me or used me for their own"""
MA,"""I have been physically, emotionally, or sexually abused by important people in my life."""
SI,I don't fit in.
SI,I'm fundamentally different from other people.
SI,I don't belong	 I'm a loner.
SI,I feel alienated from other people.
SI,I feel isolated and alone.
SI,I always feel on the outside of groups.
SI,No one really understands me.
SI,My family was always different from the families around us.
SI,I sometimes feel as if I'm an alien.
SI,"""If I disappeared tomorrow, no one would notice."""
DS,No man/woman I desire could love me once he/she saw my defects.
DS,No one I desire would want to stay close to me if he/she knew the real me.
DS,I am inherently flawed and defective.
DS,"""No matter how hard I try, I feel that I won't be able to get a significant man/woman to respect"""
DS,"""I'm unworthy of the love, attention, and respect of others."""
DS,I feel that I'm not lovable.
DS,I am too unacceptable in very basic ways to reveal myself to other people.
DS,"""If others found out about my basic defects, I could not face them."""
DS,"""When people like me, I feel I am fooling them."""
DS,I often find myself drawn to people who are very critical of me or reject me.
DS,I have inner secrets that I don't want people close to me to find out.
DS,It is my fault that my parent(s) could not love me enough.
DS,I don't let people know the real me.
DS,One of my greatest fears is that my defects will be exposed.
DS,I cannot understand how anyone could love me.
FA,Almost nothing I do at work (or school) is as good as other people can do.
FA,I'm incompetent when it comes to achievement.
FA,Most other people are more capable than I am in areas of work (or school) and achievement.
FA,I'm a failure.
FA,I'm not as talented as most people are at their work (or at school).
FA,I'm not as intelligent as most people when it comes to work (or school).
FA,I am humiliated by my failures and inadequacies in the work (or school) sphere.
FA,"""I often feel embarrassed around other people, because I don't measure up to them in terms"""
FA,I often compare my accomplishments with others and feel that they are much more
DI,I do not feel capable of getting by on my own in everyday life.
DI,I need other people to help me get by.
DI,I do not feel I can cope well by myself.
DI,I believe that other people can take of me better than I can take care of myself.
DI,"""I have trouble tackling new tasks outside of work, unless I have someone to guide me."""
DI,I think of myself as a dependent person when it comes to everyday functioning.
DI,"""I screw up everything I try, even outside of work (or school)."""
DI,I'm inept in most areas of life.
DI,"""If I trust my own judgment in everyday situations, I'll make the wrong decision."""
DI,I lack common sense.
DI,My judgment cannot be relied on in everyday situations.
DI,I don't feel confident about my ability to solve everyday problems that come up.
